word,segmentation,segment_type,related_words,notes
dwindle,dwind.le,verified,vt.vi,wind dwarf dwell diminish . 变小变少；轻视
sanction,sanct.ion,verified,sanct.uary; sanct.imonious,所以应该是“管束”的意思吧。这两个意思词频50:50 鸟兽保护区；圣地 假装虔诚的
pension,pen.sion,verified,com.pen.sation,补偿 退休金(99%) 发退休金(1%)
trajectory,tra.ject.ory,verified,tra.ject.ile,抛射物、火箭 （军事）
resurrect,re.sur.rect,verified,,
alias,a.li.as,verified,,
euhemerism,eu.hemer.ism,verified,ep.hemer.al,hemer：天 a day 比较：
ephemeral,e.phemer.al,verified,,
ephemera,ep.hemer.a,verified,ep.hemer.on; eu.hemer.ism,ep外hemer天：只能活一天 蜉蝣 n. 神话源自历史论的学说
sediment,sedi.ment,verified,sedi.tious; sed.ul.ous,联想：sed 种子 煽动颠覆的 勤奋的 sediment （地质）沉积； deposition 沉积；废黜；陈堂证供； precipitate 加速（坏事）；化学中的沉淀物；鲁莽的
fringe,frin.ge,verified,flin.ch,（突然）畏缩 infringe 侵犯
plaintiff,plaint.iff,verified,plaint.ive; com.plaint; com.plain,"-iff,形容词后缀，对应-ive plain n.平原；adj.朴素的，简单的； （声音）悲伤的，哀怨的 plaint n.(38947)（英国）起诉；悲伤的哭泣声； n.抱怨 v.抱怨 defendant respondent 被告 plaintiff 原告 prosecutor 公诉人，检察官"
staunch,st.aun.ch,verified,h.aun.ch; st.al; st.ar,注意字母组合 aun[ɔːn] 腰臀部； .wart .ch 淀粉 比较： steadfast adj. 坚定的不动摇的。强调不动摇。 staunch 坚定忠实；止血。强调忠实。 stalwart 坚定忠实不动摇，还为党干了很多事情 。
ulterior,ul.ter.ior,verified,ex.ter.ior,注意这个组合：ter+ior 3个字母+3个字母 n.外表面 adj.外面的 utter 完全的；说出喊出； utterly 完全地
revelation,re.vel.ation,verified,re.veal,动词
measles,meas.les,verified,meas.ly,[ˈmi:zli] 数量极少的
liege,lie.ge,verified,,撒谎哥 lien 留置权、扣押权； lie 撒谎； lien / ˈliːən 扣押权 linen / ˈlɪnɪn 亚麻布 家纺 liege / liːdʒ 领主 君主
oblivion,ob.liv.ion,verified,ob.liv.ious; liv.id,联想：live的反面 adj. 未察觉，没看到 live 铁青色的；暴怒的 obscurity n.没有名气的状态；晦涩难懂的事；晦暗不明的状态； 没名气，被遗忘的状态（约65%） 湮没，湮灭（约25%） 无意识状态（约8%） 赦免（约2%）
assuage,as.su.age,verified,su.ave; per.su.ade; dis.su.ade,拉丁suavis（“甜的，愉快的”） [swɑːv] adj.温文尔雅（又有点道貌岸然） v.劝阻（14595） reassure sb. 使sb.安心，打消其心中的疑虑 alleviate 减轻事态的紧张状态等等
exhort,ex.hort,verified,co.hort; ex.ert,n.（有共同特点的）群体 [ɪgˈzɜ:t] 运用；使（力）
spout,sp.out,verified,,联想：speak out sprout 发芽
glacial,glac.ial,verified,glac.er,['ɡleɪʃər] 冰川 glacé [ˈɡlæseɪ] 糖渍的；冰冻的
encumber,en.cumb.er,verified,in.cumb.ent; un.encumber.ed,当前在位的人 hamper 常用于被动语态。还有另一个意思“带盖的大篮子”
nimble,nimb.le,verified,nimb.us,"鞋子品牌, 本意是雨云，神的光轮"
jugular,jug.ular,verified,tit.ular; tab.ular; reg.ular; sec.ular,-ular ...样的 名义上的 表格形式的 ; 世俗的 subjugation 征服 镇压 jaguar 美洲虎
commodore,com.mod.ore,verified,,
steadfast,stead.fast,verified,,steady 稳定的，匀速的 比较： steadfast adj. 坚定的不动摇的。强调不动摇。 perverse 贬义词；adamant 中性词 staunch 坚定忠实；止血。强调忠实。 stalwart 坚定忠实不动摇，还为党干了很多事情 。
desolate,de.sol.ate,verified,i.sol.ate,v.隔离
devastation,de.vast.ation,verified,de.vast.ate,动词 vast 辽阔；但是作为词根是waste的意思
autonomous,auto.nom.ous,verified,,全是o atonomy 这个词不存在
concession,con.cess.ion,verified,con.cede; cess.ion; re.cession; con.sens.us; com.promise,联想：“相向而行” -cede- 走 v.承认(事实);(勉强)让步 n.割让；转让（ 33585 ） （潮水）退去。经济衰退。 共识 承诺
massage,mass.age,verified,mess.age; mess.enger,mass 大量；块； [ˈmesɪdʒ] 消息 送信人 按摩(99%)，用...揉擦(1%)
freight,fr.eight,verified,,eight
patent,pat.ent,verified,,pat 拍拍
entrepreneur,entre.pre.neur,verified,,都是e没有a
salivate,sa.liv.ate,verified,sa.liv.a; slav.er,[səˈlaɪvə] 唾液 vi. (动物）淌口水
reflex,re.flex,verified,re.flect; re.fract,flex 活动筋骨;(电源线)花线 反射 折射
commission,com.mission,verified,,mission
proverbial,pro.verb.ial,verified,pro.verb,n. 谚语
regency,reg.ency,verified,reg.al; reg.ent; regi.ment; regi.ster,reg- 词根：君王 帝王般的 ['ri:dʒənt] 摄政王 regi- 词根：治理。 团 注册
arcane,ar.cane,verified,,联想：易经 cane (竹、甘蔗的）茎 occult 神秘的；玄妙的；超自然的；
despot,de.spot,verified,,这种人配不上打spot光 depose 罢免；废黜
brusque,bru.sque,verified,arab.esque; grot.esque,sque念sk ，quet念kei，还有一个esque
utterly,ut.ter.ly,verified,,
acerbic,acerb.ic,verified,ex.acerb.ate,加剧 ascetic 清苦的、苦行的
hedonist,hedon.ist,verified,an.hedon.ia,发音：“黑的nist” [ˌænhi:'dəʊnɪə] 失乐症 “暗黑兜尼亚”
leverage,lever.age,verified,,其实这三个意思，现代中文就叫“杠杆” lever 杠杆 => 杠杆的作用
relegate,re.leg.ate,verified,de.leg.ate,降级 代表 废黜：depose
successive,suc.cess.ive,verified,suc.cess.ful,成功的 比较： successive adj.连续的 respectively adv. 逐一对应地
appraisal,ap.prais.al,verified,ap.praise; re.prisal; ap.prise,动词 praise 赞颂 报复 (正式） v. 通知
complacency,com.plac.ency,verified,com.place.ency; com.plac.ent,ency: 一种state、quality：urgency tendency 这样记： ，然后，其实没有重复的两个e，这点其实很清楚，都不用多记。这样就没有精神内耗了。
afflict,af.flict,verified,in.flict,(9849) (6571)区别是afflict 往往被动语态
diminish,dimin.ish,verified,diminu.tive; diminu.endo,v.减少；贬低 adj.极小的；n.小词 [音乐] 渐弱
exacerbate,ex.acerb.ate,verified,acerb.ic,
advocate,ad.voc.ate,verified,equi.voc.ate,故意摸棱两可地说
guardrail,guard.rail,verified,,banister （楼梯的）栏杆
coarsen,coars.en,verified,,oar 桨 coarse
appealing,ap.peal.ing,verified,ap.peal; v.n; ap.pell.ant; compell.ing,. 上诉； 呼吁；吸引； n.上诉人 peal .洪亮的钟声； plea n.请求；辩护 引人入胜的；很有说服力的 想象：appealing是ad，单方向的。com是双向奔赴。
solstice,sol.stice,verified,inter.st.ice,（统称）空隙(78%)，细的裂缝(22%) equinox 春分秋分
nostalgia,nost.alg.ia,verified,,nostrum 江湖药
tribunal,tri.bu.nal,verified,tri.but,
allege,al.lege,verified,al.leg.ation; al.leg.ory,动词 名词 寓言
parcel,par.cel,verified,,part 包裹(75%)，一片地(12%)，打包(3%)
proficiency,pro.fici.ency,verified,ef.fici.ency; de.fici.ency,熟练程度 效率，效能 缺少。缺陷。 adept adj.熟练的 n.熟练的人，熟手
nuance,nu.ance,verified,nu.is.ance,nu(new) 讨厌的事、人；寻衅滋事；
cajole,cajo.le,verified,,
promising,pro.mis.ing,verified,pro.mise,promised land
tropic,trop.ic,verified,trop.ic.al; top.ic,trophy adj.
reside,re.side,verified,sub.side; re.sid.ence; re.pose; de.side; in.side,定居 沉降；平息减弱 n.住宅 休息。搁一边 这个词不存在因为与decide同音 sth. be accredit ed to sb. sb. be accredit ed with sth. 把某件事归于某人（所说，所做）
henchman,hench.man,verified,,hunch 预感 hatchet 小斧子
ginormous,gi.nor.mous,verified,e.nor.mous,gi·gan·tic [dʒaɪˈɡæntɪk] 巨大的
infatuated,in.fat.uated,verified,,with sb. in，不是en slobber over sb. swoon over sb.
ruminate,rumin.ate,verified,rumin.ant; il.lumin.ate,animals 反刍动物 v.照亮；阐明
gullet,gull.et,verified,gull.y; pull.et; pell.et,seagull = gull 海鸥 (也写作gulley） 雨水冲击成的深沟 (尤指未满一年的）小母鸡 小弹丸 小肉丸
symphony,sym.phony,verified,,phone ，telephone microphone
prance,pr.ance,verified,,prank n.恶作剧
reprimand,re.pri.mand,verified,re.pri.eve; com.mand,死刑的暂缓执行
seethe,see.the,verified,,看着这个东西（生闷气）;发音好像高压锅“嘶嘶” 比较：simmer 小火慢炖
skiff,ski.ff,verified,,ski n.滑雪板 v.滑雪 sloop n.单桅帆船
frigate,frig.ate,verified,frig.id; destroy.er,寒冷的；冷淡的；性冷淡的 friction 摩擦力 驱逐舰
cruiser,crui.ser,verified,crui.se,动词
macula,mac.ula,verified,,小mac
freckle,freck.le,verified,speck.le,斑点； fleck 斑点； freck 不是单词 speck speckle
aristocratic,aristo.cratic,verified,aristo.cracy,贵族、贵族统治（的政治体系）
patriot,pa.triot,verified,,trio 三重唱；三人一组
gentile,gent.ile,verified,gent.le,gentleman ； genital 生殖器的
tropical,trop.ic.al,verified,trop.ics; trop.ic,（复数）热带(74%) 回归线(17%)，热带的(9%)
taximeter,taxi.meter,verified,,
Cartesian,carte.sian,verified,cart.o.graphy,制图学
discrete,dis.crete,verified,dis.creet; dis.cretion; con.crete; se.crete; se.cret; ex.crete,谨慎的 谨慎 混凝土 分泌；藏匿； 秘密的 排泄
convolution,con.vol.ution,verified,re.vol.ution; vol.vo; con.vul.sion,革命； 沃尔沃 ，轮子转啊转 抽搐;动乱(23%)
extrapolate,extra.pol.ate,verified,,
quantitative,quanti.tative,verified,quant.um,quantity 量。框踢踢。去掉y，+ative 量子
tentacle,tenta.cle,verified,tenta.tive,试探性的 触手
trivial,tri.vial,verified,tri.via; tra.vail; tri.fle,名词 艰辛 n.琐事 v.轻视 琐碎的(74%)，不重要的(26%)
scrape,sc.rape,verified,,scrap [skræp] 碎片，吵架
discipline,dis.cip.line,verified,dis.cip.le; prin.cip.al,前3个意思：纪律本身。别人要求自己。自己要求自己。 不拿群众一针一线 门徒 校长
cruciferous,cruci.fer.ous,verified,cruci.fy,
migraine,mig.raine,verified,uk.raine; mig.rate,rain v.移民
cerebral,cere.bral,verified,cere.bration; cere.brum; cere.bell.um; e.brate,大脑的思考活动 大脑 小脑 ce l v.庆祝
mucus,muc.us,verified,,µ克思，不是马克思 snot 鼻涕（较粗俗的说法）
walnut,wal.nut,verified,wal.rus,胡桃 海象
virile,vir.ile,verified,vir.gin,
skittish,skit.tish,verified,,skit 幽默短文，原意是轻快地跑 ； kit 成套工具； scud 飞毛腿
remedy,re.me.dy,verified,re.me.di.able,/ rɪ'miːdiəbl / 旋律：melody
vassal,vass.al,verified,vess.el,vase 花瓶 大船；盛液体的容器；血管，植物的导管
hegemony,hege.mony,verified,hedge.hog,"听起来 ""嘿Germany"" har. mony 刺猬"
notion,not.ion,verified,not.ice,note
juxtapose,jux.ta.pose,verified,,The exhibition juxtaposes traditional art and digital media.
benevolent,bene.vol.ent,verified,male.vol.ent,
exceptional,ex.cept.ion.al,verified,ex.cept; per.cept.ion,vt.除...之外 感知；洞察力；见解；
piscatorial,pisca.tor.ial,verified,pisca.tory,littoral n. 沿海地区
armada,arm.ada,verified,,"发音：阿妈的 ""Invincible Armada"" of Philip II of Spain (1588)"
galley,gall.ey,verified,gall.ery; gall.eon; gull.ey,gall 虫瘿 画廊 西班牙大帆船 是gully 峡谷 的另一个写法
tugboat,tug.boat,verified,,tug 使劲拉拽
dinghy,ding.hy,verified,ding.y,n. small open boat [ˈdɪŋgi ] adj. dark and dirty
buggy,bug.gy,verified,,bug
paddle,padd.le,verified,pudd.le,pad 软垫； 小水坑 oar 长桨 scull 单人双桨
pennant,penn.ant,verified,pend.ant; pend.ent,坠子 下垂的
masturbate,mastur.bate,verified,,master
dowry,dow.ry,verified,dow.dy,发音：道瑞，不是道理 联想：送嫁妆是道理 缺乏魅力不时髦的（女人）
premise,pre.mise,verified,pro.mise; pre.mises,承诺。 企业的营业场所
reverie,reve.rie,verified,reve.lation; revel.ry,来自 rave 被曝光的真相；（来自神的）启示 狂欢（吃喝) orgy 狂欢（涉及性）
deplore,de.plore,verified,im.plore; ex.plore,恳求 公开谴责 探索
implore,im.plore,verified,ex.plore; de.plore; im.plode,-plor- 大叫，哭喊； 探索; 公开谴责 内爆
ravish,rav.ish,verified,lav.ish; rav.age,adj.大量的；慷慨的； rave v.疯狂地说/写；疯狂地喊； raven 渡鸦；黑色的 v.破坏；掠夺 rapture n. 狂喜 enrapture v. 使狂喜 rhapsody 狂想曲 (多个h) 强奸(61%)，抢夺(26%)，使狂喜(13%)
unravel,un.ravel,verified,,(8829) ravel (51968) 使纠缠；使复杂 ravel out:解开 rave （11884）v.热烈地说/写
occult,oc.cult,verified,,cult n.异教团体 n.狂热 occult 是magic sorcery witchcraft 的统称
denounce,de.nounce,verified,an.nounce; re.nounce,ounce 盎司；一点点； 宣布 宣布放弃；宣布与...决裂；
domicile,domic.ile,verified,domes.tic,doc .ile 驯服的，温顺的
gazetteer,gaze.tt.eer,verified,,gazelle [ɡəˈzel ]瞪羚
decrepit,de.crep.it,verified,crep.us.cular; dis.crep.ancy,黄昏的 crept creep（爬行）的过去分词 （应该相同的）不同
disparity,dis.par.ity,verified,par.ity; dis.par.ate; dis.par.age,（不公正引起的）不同 奇偶校验 由不同的事务组成的；迥然不同无法比较的； 贬低 discrepancy 应该相同却不同
discrepancy,dis.crep.ancy,verified,de.crep.it; dis.par,老朽的；破旧的 .ate （差异过大）不能相比的 .ity 不同（不公正导致的）
brass,br.ass,verified,bra.zen,ass 厚颜无耻的。黄铜制的 zen
brazier,brazi.er,verified,braz.en,Brazil 厚颜无耻的；黄铜的 brass n.黄铜 ；铜管乐器；要人； blaze v.熊熊燃烧。n.火焰。 blazer 带有学校、球队的颜色或徽章的夹克
cullender,cull.en.der,verified,,
colander,co.land.er,verified,cul.lend.er,[kʌləndə] 发音一样的
skillet,skill.et,verified,,联想：用做小炒是需要skill的
cognate,cogn.ate,verified,cog.it.ate,(formal)仔细思考 本意：可认知的 -->(词语)同源的
harrow,har.row,verified,har.row.ing; far.row; mar.row; Hal.low.een,非常惊人/恐怖并且令人不安的 （联想：耙到心了） 一窝小猪；fallow 休耕地；hollow 空心的 瓜瓜 西葫芦，骨髓 中的hallow其实是 圣
aurora,au.ro.ra,verified,,劳拉 Laura 比较：aroma 芳香
vertex,vert.ex,verified,ap.ex; vort.ex; cort.ex,顶点；最高点 verge 路边的小草地；边缘 漩涡 大脑皮层
milieu,mi.lieu,verified,Mi.lei; pur.lieus,社会环境； 阿根廷总统米莱 lieu [luː] in ~ （of sb.）代替 （文学）周边环境；
doldrums,dol.drums,verified,,doll 洋娃娃 联想：drums 复数，一直敲，更沉闷了
miasma,mi.asma,verified,mi.rage,mi as th ma [ ˈæsmə] 哮喘 海市蜃楼
heather,heath.er,verified,,(19646) heath [hiːθ] (28943)〔尤指英国杂草和灌木丛生的〕荒野，荒地 health
savanna,sa.van.na,verified,,
littoral,litt.or.al,verified,litt.er; pisca.tor.ial,乱丢的垃圾。猫砂垫草。一窝幼崽。 lido 海滨浴场 公共浴场 渔业的
quaver,qua.ver,verified,Qua.ker; qua.ke,贵格派信徒 发抖 quail 鹌鹑；v.感到害怕
mauve,mau.ve,verified,maud.lin,与marshmallow 的mallow 锦葵 有关 哭哭啼啼的
galleon,gall.eon,verified,,-leon 西班牙后缀，狮子 gall 木头上的瘿 galley 希腊罗马的桨帆船，尤指战舰。船上的厨房 gallon 加仑 chame+leon 变色龙
trample,tramp.le,verified,,tramp 流浪汉。长时间的步行。重步走；重步声；
catalepsy,cata.lepsy,verified,epi.lepsy; narco.lepsy,癫痫 强直性晕厥 嗜睡症 lep ro sy 麻风病
epilepsy,epi.lepsy,verified,lep.rosy; cata.lepsy; narco.lepsy,癫痫 麻风病 强直性晕厥 嗜睡症
dilemma,di.lem.ma,verified,lem.ma,引理
splurge,spl.urge,verified,spl.ash,19397 泼洒 split
squander,squ.and.er,verified,qu.and.ary; qu.arrel,发音： 死光的 浪费 （不知做什么好的）困境 <= 吵架
cockney,cock.ney,verified,,
acclivity,ac.cliv.ity,verified,pro.cliv.ity; de.cliv.ity,（对坏事的）倾向 斜坡
decant,de.cant,verified,de.cant.er; s.cant; des.cant,想象：不说伪善的话 酒先倒入这个容器，然后再上桌 几乎没有 几个歌手一起唱的那个辅助者的声音 cant n.伪善的话 v.倾斜
facade,fac.ade,verified,,fac:正脸 exterior n.（建筑物或人）外貌；adj.外面的 obverse 对立面；硬币的正面；
vortex,vor.tex,verified,cor.tex; ver.tex,漩涡 皮层；（尤指）大脑皮层 （几何）顶点
rivulet,rivu.let,verified,,river rivet 铆钉
affluent,af.flu.ent,verified,con.flu.ence,河流的汇合点；=>(各种事务的)汇合； opulent 豪华的；非常富有的
tributary,tri.but.ary,verified,tri.bute; tri.bul.ation,支流 葬礼上给的钱，讲的话；进贡 磨难
gorgeous,gorg.eous,verified,,gorge 峡谷，狼吞虎咽
ravine,ra.vine,verified,,
hummock,hum.mock,verified,,mock [mɒk] 通过模仿的方式嘲弄 chipmunk 花栗鼠
reservoir,re.serv.oir,verified,re.serve,v.储备
repository,re.posit.ory,verified,posit.ion; re.pose; v.n,仓库就是个重新换位置position的地方 结尾tory是因为position .躺 休息 v.物品被搁置于 repertory 保留剧目 repertoire 会演的全部剧目
pantry,pan.try,verified,pal.try; pan.ty; pas.try; pas.ty,菜橱子 pan 平底锅 小试试=>数量很少的；质量很差的； 女子运动短裤 糕点 （英）馅饼；（脸）苍白的
mortuary,mort.uary,verified,mort.gage; sanct.uary,[ˈmɔːɡɪdʒ]按揭 mor. gue [mɔ:g] 鸟兽保护区；圣地；
necropsy,necro.psy,verified,auto.psy; necro.mancer,听发音像 necro+pathy 死灵法师
necropolis,necro.polis,verified,necro.mancer,死灵法师
cemetery,ce.met.ery,verified,co.met; ce.ment,彗星 [sɪˈment] 水泥
catacombs,cata.combs,verified,,cata-下面的 comb n.梳子 v.梳理
tumulus,tu.mul.us,verified,tu.muli; cu.mul.us; tu.mult.uous,大坟头（积土） 复数 积云 喧嚣的、激荡的
gusher,gush.er,verified,,gush v.喷出；过分称赞，夸张地表达感情 geyser 热水器，热喷泉 spout （喷水）嘴，喷水；spout off/on about 源源不断地说
rampart,ram.part,verified,ram.pant; ram.page; v.n,城墙 adj.猖獗的 . 横冲直撞
egress,e.gress,verified,in.gress; di.gress; in.bound; out.bound,n. 离开；离开权 n. 进入；进入权 vi. 偏题 adj.入境的 adj.出境的
gambol,gam.bol,verified,gam.ble; gam.bit; v.n,[ˈɡæmbl] 赌博 （象棋）开局 frolic . 嬉戏
podium,pod.ium,verified,,lectern
respire,re.spire,verified,vt.vi; re.sp,spire 教堂的尖顶。作为词根是“精神” aspire . 渴望（成就） perspire v. 出汗 ite n. 缓解；喘息
arboretum,arbor.etum,verified,,arbor arbour 花园中的棚架、凉亭 botany 植物学
bower,bow.er,verified,bowl.er,bow 弓；鞠躬 bowl 碗 板球(cricket)投球手；圆礼帽 arbor (由藤蔓在架子上攀缘而成的) 棚架；凉亭； 原指树荫处，但现在更多地指一个被树叶、树枝或藤蔓包围形成的舒适、荫凉且私密的休憩处
lounge,l.oun.ge,verified,r.oun.d; c.oun.t,来自long，本意：可以完全躺下的couch couch 沙发 lobby 游说(53%)，公共建筑物的门厅(46%) 休息室(68%)，起居室(13%)，候机室(12%)，闲荡(6%)，懒散地斜靠(1%)
boutique,bou.ti.que,verified,bou.quet; boud.oir,发音：不踢客 花束 闺房
boudoir,boud.oir,verified,,boutique 精品屋
lavatory,lava.tory,verified,,lava （火山喷出的）熔岩 ; 火山岩
conservatory,con.serv.atory,verified,,比较：indian reservation 引子：conservative 保守主义
sanatorium,san.ator.ium,verified,ator.ium; mor.ator.ium; crem.ator.ium,-ator 做某种动作的人 - 做某事的场所 n.疗养院 n. 中止 火葬场
penitentiary,peni.tent.iary,verified,,penitent 忏悔的；忏悔者
paling,pal.ing,verified,pali.sade,pal [pæl] 哥们；小伙 pale 苍白的 pail [peɪl]提桶 木栅栏；海边的绝壁； stockade （防御用的）栅栏，围桩
buttress,but.tress,verified,,actress
banister,ban.ist.er,verified,guard.rail,(桥、悬崖等的) 护栏
conceal,con.ceal,verified,v.n; re.veal,seal . 密封 ；海豹 反义词
eligible,e.lig.ible,verified,,
Kashmiri,kash.miri,verified,,cashmere （山羊绒）开司米 kashmir 名词
intelligent,intell.ig.ent,verified,,intellect n.智力；高智商的人
compliance,com.pli.ance,verified,com.pli.ment; n.v; com.plais.ance; ap.pli.ance; com.ply; ap.ply; obei.sance; defer.ence,. 赞美 殷勤 家电 动词 应用；办申请手续； 比较： 是景仰、鞠躬 是尊重（某人）的行为 服从（权威）的行为
logarithm,log.arithm,verified,arithm.etic,n.算术 alg. o rithm 算法
splinter,splint.er,verified,,splint 夹板 lint 线头，绷带 sprinkle 撒（一点点） offshoot n. 分支机构。孽枝
patina,pati.na,verified,,
detritus,de.trit.us,verified,de.tri.ment,trite 陈词滥调； 损害； humus 只有腐殖质这一个意思
refuse,re.fuse,verified,re.fute,v.驳斥；反驳； 拒绝( 67% )，垃圾( 28% )，废物( 5% )
vestige,vesti.ge,verified,in.vesti.gate,vest 马甲 v. 调查 residue（过程结束后）残留物；（法律）刨去债务后剩余的遗产
bridle,brid.le,verified,,bride 新娘 bird
ordinance,ordin.ance,verified,ordin.ation; ord.nance,order 授圣职 大炮、军需品 decree （不经议会的）政府法令。（法院的）裁决 fiat （当权者的）谕；命令 ordinance （政府的）条例
perverse,per.verse,verified,per.vert,使败坏 性变态者 verse 诗歌中的节 adamant 中性词 steadfast 褒义词 children of God without blemish in the midst of a crooked and perverse generation 在这弯曲 悖谬 的世代中作神无瑕疵的儿女
rebuke,re.buke,verified,re.bate,puke 呕吐 buike [buːik] 别克 退款
hawker,hawk.er,verified,,hawk n.鹰 v.沿街叫卖 huckster 小贩
consonant,con.son.ant,verified,re.son.ant,辅音的，一致的 有回音的，响亮的
brittle,bri.ttle,verified,li.ttle; bri.tish; bri.stle,不列颠的 短而硬的毛（动物身上或人脸上） brisk 敏捷的；凉爽清新的；
unrivalled,un.rivall.ed,verified,,wall rival 4384
choreography,chore.o.graphy,verified,chor.us,chore /tʃɔː(r)/ 家务事； 但是本词来自 合唱团
amnesty,a.mnes.ty,verified,a.mnes.ia,对比 记忆缺失；健忘症；
remission,re.miss.ion,verified,re.miss; inter.mission; re.mit,“病、刑、债上的 缓解 ” 懈怠的 mission 任务、使团 幕间休息；间歇 汇款; 职权范围; 驳回（案件）
inflict,in.flict,verified,af.flict,vt. 折磨
impute,im.pute,verified,com.pute; im.pugn,算入 质疑
